file,path,dataset,ver,mode,method,seed,idx,run_tag,alpha,gamma,degree_thr,aug_ratio,aug_bound,topk_per_node,restricted,epoch,total_epochs,drop_frac,dropped_edges,min_deg_after,isolated
Cora_ML_aron_desc_inter_a0.80_g1.00_c0p0.01_seed0_r10.0_fmr0.5_d0.5_gmm_idx0_taga0.80_g1.00_c0p0.01_loss_origin.log,./log/1104/Cora_ML_aron_desc_inter_a0.80_g1.00_c0p0.01_seed0_r10.0_fmr0.5_d0.5_gmm_idx0_taga0.80_g1.00_c0p0.01_loss_origin.log,Cora_ML,aron_desc_inter,inter,gmm,0,0,a0.80_g1.00_c0p0.01,0.8,1.0,0.5,10.0,0.5,64,1,50,699,0.01,36,2,0
Cora_ML_aron_desc_inter_a0.80_g1.00_c0p0.01_seed0_r10.0_fmr0.5_d0.5_gmm_idx0_taga0.80_g1.00_c0p0.01_loss_origin.log,./log/1104/Cora_ML_aron_desc_inter_a0.80_g1.00_c0p0.01_seed0_r10.0_fmr0.5_d0.5_gmm_idx0_taga0.80_g1.00_c0p0.01_loss_origin.log,Cora_ML,aron_desc_inter,inter,gmm,0,0,a0.80_g1.00_c0p0.01,0.8,1.0,0.5,10.0,0.5,64,1,60,699,0.01,26,2,0
Cora_ML_aron_desc_inter_a0.80_g1.00_c0p0.01_seed0_r10.0_fmr0.5_d0.5_gmm_idx0_taga0.80_g1.00_c0p0.01_loss_origin.log,./log/1104/Cora_ML_aron_desc_inter_a0.80_g1.00_c0p0.01_seed0_r10.0_fmr0.5_d0.5_gmm_idx0_taga0.80_g1.00_c0p0.01_loss_origin.log,Cora_ML,aron_desc_inter,inter,gmm,0,0,a0.80_g1.00_c0p0.01,0.8,1.0,0.5,10.0,0.5,64,1,60,699,0.01,26,2,0
Cora_ML_aron_desc_inter_a0.80_g1.00_c0p0.01_seed0_r10.0_fmr0.5_d0.5_gmm_idx0_taga0.80_g1.00_c0p0.01_loss_origin.log,./log/1104/Cora_ML_aron_desc_inter_a0.80_g1.00_c0p0.01_seed0_r10.0_fmr0.5_d0.5_gmm_idx0_taga0.80_g1.00_c0p0.01_loss_origin.log,Cora_ML,aron_desc_inter,inter,gmm,0,0,a0.80_g1.00_c0p0.01,0.8,1.0,0.5,10.0,0.5,64,1,70,699,0.01,34,2,0
Cora_ML_aron_desc_inter_a0.80_g1.00_c0p0.01_seed0_r10.0_fmr0.5_d0.5_gmm_idx0_taga0.80_g1.00_c0p0.01_loss_origin.log,./log/1104/Cora_ML_aron_desc_inter_a0.80_g1.00_c0p0.01_seed0_r10.0_fmr0.5_d0.5_gmm_idx0_taga0.80_g1.00_c0p0.01_loss_origin.log,Cora_ML,aron_desc_inter,inter,gmm,0,0,a0.80_g1.00_c0p0.01,0.8,1.0,0.5,10.0,0.5,64,1,70,699,0.01,34,2,0
Cora_ML_aron_desc_inter_a0.80_g1.00_c0p0.01_seed0_r10.0_fmr0.5_d0.5_gmm_idx0_taga0.80_g1.00_c0p0.01_loss_origin.log,./log/1104/Cora_ML_aron_desc_inter_a0.80_g1.00_c0p0.01_seed0_r10.0_fmr0.5_d0.5_gmm_idx0_taga0.80_g1.00_c0p0.01_loss_origin.log,Cora_ML,aron_desc_inter,inter,gmm,0,0,a0.80_g1.00_c0p0.01,0.8,1.0,0.5,10.0,0.5,64,1,80,699,0.01,25,2,0
Cora_ML_aron_desc_inter_a0.80_g1.00_c0p0.01_seed0_r10.0_fmr0.5_d0.5_gmm_idx0_taga0.80_g1.00_c0p0.01_loss_origin.log,./log/1104/Cora_ML_aron_desc_inter_a0.80_g1.00_c0p0.01_seed0_r10.0_fmr0.5_d0.5_gmm_idx0_taga0.80_g1.00_c0p0.01_loss_origin.log,Cora_ML,aron_desc_inter,inter,gmm,0,0,a0.80_g1.00_c0p0.01,0.8,1.0,0.5,10.0,0.5,64,1,80,699,0.01,25,2,0
Cora_ML_aron_desc_inter_a0.80_g1.00_c0p0.01_seed0_r10.0_fmr0.5_d0.5_gmm_idx0_taga0.80_g1.00_c0p0.01_loss_origin.log,./log/1104/Cora_ML_aron_desc_inter_a0.80_g1.00_c0p0.01_seed0_r10.0_fmr0.5_d0.5_gmm_idx0_taga0.80_g1.00_c0p0.01_loss_origin.log,Cora_ML,aron_desc_inter,inter,gmm,0,0,a0.80_g1.00_c0p0.01,0.8,1.0,0.5,10.0,0.5,64,1,90,699,0.01,24,2,0
Cora_ML_aron_desc_inter_a0.80_g1.00_c0p0.01_seed0_r10.0_fmr0.5_d0.5_gmm_idx0_taga0.80_g1.00_c0p0.01_loss_origin.log,./log/1104/Cora_ML_aron_desc_inter_a0.80_g1.00_c0p0.01_seed0_r10.0_fmr0.5_d0.5_gmm_idx0_taga0.80_g1.00_c0p0.01_loss_origin.log,Cora_ML,aron_desc_inter,inter,gmm,0,0,a0.80_g1.00_c0p0.01,0.8,1.0,0.5,10.0,0.5,64,1,90,699,0.01,24,2,0
Cora_ML_aron_desc_inter_a0.80_g1.00_c0p0.01_seed0_r10.0_fmr0.5_d0.5_gmm_idx0_taga0.80_g1.00_c0p0.01_loss_origin.log,./log/1104/Cora_ML_aron_desc_inter_a0.80_g1.00_c0p0.01_seed0_r10.0_fmr0.5_d0.5_gmm_idx0_taga0.80_g1.00_c0p0.01_loss_origin.log,Cora_ML,aron_desc_inter,inter,gmm,0,0,a0.80_g1.00_c0p0.01,0.8,1.0,0.5,10.0,0.5,64,1,100,699,0.01,33,2,0
